id,phone_number,street_address,hospital_name,longitude,latitude,province,city,detailcity
27,434-2385,전라남도 강진군 강진읍 동성로 23-1,강진동물병원,179198,126957,전라남도,강진군,강진읍 동성리 188번지
28,637-7589,대전광역시 동구 동대전로 162 (자양동),비래동물병원,240096,315129,대전광역시,동구,자양동 66-24번지
29,295-0079,경기도 수원시 권선구 매실로69번길 18 (호매실동),칠보 동물병원,196202,418609,경기도,수원시,권선구 호매실동 82-3
30,504-9189,부산광역시 동래구 아시아드대로 213 (온천동),사직동물병원,388087,191298,부산광역시,동래구,온천동 1250-21번지
31,356-0088,경상남도 밀양시 단장면 안법1길 65,금곡동물병원,368325,222432,경상남도,밀양시,단장면 안법리 169-2번지
32,23727288,"서울특별시 마포구 월드컵북로38길 14, 4층 (중동)",성산연세약국,191427,452028,서울특별시,마포구,중동 64-23
33,351-3393,경기도 화성시 우정읍 조암남로 22,우 동물병원,183748,397940,경기도,화성시,우정읍 조암리 350-11
34,313526633,경기도 화성시 향남읍 행정서로2길 28-37,신동물메디컬센터,192385,403271,경기도,화성시,향남읍 행정리 417-14
36,379-7575,서울특별시 종로구 진흥로 473 (신영동),월드펫동물병원,196445,455996,서울특별시,종로구,신영동 249-6번지
37,571-9114,광주광역시 북구 양일로305번길 8 (일곡동),일곡동물병원,190563,189333,광주광역시,북구,일곡동 843-5번지
38,062-574-7975,"광주광역시 북구 하서로 371, 1층 (양산동)",참좋은 동물병원,188403,189882,광주광역시,북구,양산동 254-123
39,062-419-7582,광주광역시 북구 중문로 74 (우산동),빛고을 동물의료센터,192695,186661,광주광역시,북구,우산동 609-3
40,062-571-0011,광주광역시 북구 하백로5번길 1 (매곡동),24시 언제나 동물병원,189946,187638,광주광역시,북구,매곡동 370-7번지
41,526-3575,광주광역시 북구 서암대로 167 (신안동),유동물병원,191045,185577,광주광역시,북구,신안동 479-36
42,062-576-7585,광주광역시 북구 설죽로471번길 101-102 (삼각동),이든동물병원,190723,189130,광주광역시,북구,삼각동 780-1
43,062-574-8276,"광주광역시 북구 하서로 652-15, 2층 (지야동)",소담동물병원(출장전문),189626,192397,광주광역시,북구,지야동 803-11
44,062-571-2808,"광주광역시 북구 본촌마을길 27, 동물보호소 (본촌동)",광주동물보호소 부속동물병원,189133,191478,광주광역시,북구,본촌동 378-6 동물보호소
45,053-950-6898,"대구광역시 북구 대학로 80 (산격동, 경북대학교 수의과대학)",경북대학교 수의과대학 부속동물병원,345300,266806,대구광역시,북구,산격동 1370-1 경북대학교 수의과대학
46,053-384-9907,대구광역시 북구 검단북로 154 (검단동),대구축협동물병원,346441,269593,대구광역시,북구,검단동 700-2
47,325-7579,대구광역시 북구 칠곡중앙대로 483 (관음동),강동물병원,339729,272060,대구광역시,북구,관음동 1383-14
48,053-312-7975,대구광역시 북구 칠곡중앙대로 189 (태전동),다온동물병원,339666,269187,대구광역시,북구,태전동 1113
49,053-352-1998,"대구광역시 북구 침산로21길 23 (칠성동2가, 침산1차푸르지오)",신한동물병원,343319,266168,대구광역시,북구,칠성동2가 2-2
50,322-0041,대구광역시 북구 칠곡중앙대로 531 (읍내동),동명동물병원,339826,272539,대구광역시,북구,읍내동 781-1
51,324-0116,대구광역시 북구 대천로 72-1 (동천동),굿모닝동물병원,340446,271863,대구광역시,북구,동천동 932-4
52,954-3395,대구광역시 북구 산격로 109 (산격동),가나동물병원,345124,267760,대구광역시,북구,산격동 1216-4
53,053-322-9075,대구광역시 북구 칠곡중앙대로 471 (관음동),늘푸른종합동물병원,339700,271940,대구광역시,북구,관음동 1386-7
54,053-314-0075,"대구광역시 북구 동암로12길 8, 2층 (동천동, 칠곡홈플러스)",도그플러스 동물병원(미유펫 대구점),340321,272736,대구광역시,북구,동천동 668-1 13통5반 칠곡홈플러스 301호
55,053-326-2557,"대구광역시 북구 학정로 149, 한우리메디타워 2층 204호 (태전동)",순풍동물병원,339911,270115,대구광역시,북구,태전동 1195
56,02-831-0075,"서울특별시 영등포구 가마산로 449-1, 영민빌딩 1층 (신길동)",다움동물병원,191647,444845,서울특별시,영등포구,신길동 324-49 영민빌딩 1층
57,055-533-8292,경상남도 창녕군 창녕읍 갈전길 153,창녕축협동물병원,334432,230336,경상남도,창녕군,창녕읍 하리 421-1
58,055-532-0636,경상남도 창녕군 창녕읍 창녕대로 153-1,광진동물병원,336046,226930,경상남도,창녕군,창녕읍 말흘리 747-11번지
59,055-521-0438,경상남도 창녕군 영산면 영산장마로 745,김수의과병원&lt;산업동물출장진료전문병원&gt;,338401,218611,경상남도,창녕군,영산면 서리 216-9번지
60,055-6737194,경상남도 고성군 고성읍 송학고분로 317,미소종합동물병원,320884,165546,경상남도,고성군,고성읍 송학리 416-58번지
61,055-673-8875,경상남도 고성군 고성읍 남포로 75-3,서울동물병원,320499,164234,경상남도,고성군,고성읍 수남리 542-31번지
62,055-963-4569,경상남도 함양군 함양읍 함양로 1182-1,현대동물병원(출장진료전문병원),266045,225183,경상남도,함양군,함양읍 교산리 189-1번지 6통2반
63,055-964-0095,경상남도 함양군 함양읍 중앙시장길 17 (신성가축병원),신성가축병원,266159,224481,경상남도,함양군,함양읍 용평리 646-2번지
64,559638875,"경상남도 함양군 함양읍 용평중앙길 43, 1층 105호",함양동물병원,266266,224642,경상남도,함양군,함양읍 용평리 628-7번지 105호
65,556-8207,충청남도 천안시 동남구 청수11로 12 (청당동),천안축산업협동조합 부설동물병원,213642,364583,충청남도,천안시,동남구 청당동 511
66,571-9318,충청남도 천안시 서북구 쌍용대로 51 (쌍용동),우리동물병원,211655,366748,충청남도,천안시,서북구 쌍용동 1169번지
67,567-4723,충청남도 천안시 동남구 충무로 475 (원성동),장원동물병원(출장진료전문 동물병원),214029,366400,충청남도,천안시,동남구 원성동 587-10
68,582-9600,충청남도 천안시 서북구 성환읍 매주4길 20,하나동물병원,211330,378910,충청남도,천안시,서북구 성환읍 매주리 330-1
69,041-568-7277,충청남도 천안시 동남구 대흥로 320 (성황동),그림동물병원,213381,368329,충청남도,천안시,동남구 성황동 10-16번지
70,523-0275,충청남도 천안시 동남구 터미널2로 8 (신부동),에니펫동물병원,214071,368703,충청남도,천안시,동남구 신부동 816번지 대흥빌딩
71,568-7533,"충청남도 천안시 서북구 두정로 203 (두정동,주차빌딩101)",펫프렌즈동물병원,212383,370291,충청남도,천안시,서북구 두정동 1263번지 주차빌딩101
72,572-8275,"충청남도 천안시 서북구 월봉로 85, 쌍용메디칼 (쌍용동)",김수영 동물병원,210450,366338,충청남도,천안시,서북구 쌍용동 1544-1번지 쌍용메디칼
73,334-1666,충청남도 예산군 예산읍 대학로 54 (공주대학교 산업과학대학 내),충남야생동물구조센터,187384,352104,충청남도,예산군,예산읍 대회리 1 공주대학교 산업과학대학 내
74,335-1023,충청남도 예산군 예산읍 벚꽃로 153,KU건국동물병원,185301,354782,충청남도,예산군,예산읍 산성리
75,041-557-8575,충청남도 천안시 동남구 중앙로 281-2 (신부동),고려동물병원,213530,369125,충청남도,천안시,동남구 신부동 319-37번지
76,544-8834,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층1호)",다산동물병원,214005,365624,충청남도,천안시,동남구 청수동 261번지 청솔LG아파트 상가 지하1층1호
77,553-5534,"충청남도 천안시 동남구 남부대로 344, 1층 (청당동)",가온동물병원,213772,364402,충청남도,천안시,동남구 청당동 153-15
78,564-0075,"충청남도 천안시 동남구 대흥로 339, 천광빌딩 (신부동)",열린동물병원,213448,368527,충청남도,천안시,동남구 신부동 388-5번지 천광빌딩
79,041-551-5659,충청남도 천안시 동남구 충절로 437 (삼룡동),서일동물병원,215243,364670,충청남도,천안시,동남구 삼룡동 146-28
80,041-565-5297,충청남도 천안시 동남구 풍세로 614 (신방동),유일동물병원(산업동물에 대한 출장진료를 전문으로 함.),211746,362967,충청남도,천안시,동남구 신방동 263-3번지
81,578-4575,충청남도 천안시 동남구 통정10로 33-10 (신방동),나음동물병원,211728,363608,충청남도,천안시,동남구 신방동 1536번지
82,579-8252,"충청남도 천안시 동남구 수곡2길 8-3, 이화빌딩 (신방동)",다솜동물병원,211392,365299,충청남도,천안시,동남구 신방동 49-14번지 이화빌딩
83,041-900-7582,"충청남도 천안시 동남구 봉정로 6, 2층 (봉명동)",치유동물병원,212375,366829,충청남도,천안시,동남구 봉명동 32-1
84,041-557-8275,충청남도 천안시 동남구 충절로 35 (신부동),서울88동물의료원,214080,368281,충청남도,천안시,동남구 신부동 88-3
85,041-555-7575,충청남도 천안시 동남구 원거리7길 2 (원성동),중앙동물병원,213653,366407,충청남도,천안시,동남구 원성동 601-1번지
86,041-551-5989,충청남도 천안시 동남구 대흥로 94-1 (영성동),녹십자,213489,366450,충청남도,천안시,동남구 영성동 67-3번지 18통3반
87,581-4414,충청남도 천안시 서북구 성환읍 성환1로 116,천안공주낙농축산업협동조합부설동물병원,211460,378147,충청남도,천안시,서북구 성환읍 매주리 435-1
88,570-1378,충청남도 천안시 동남구 차돌로 50 (다가동),대전충남 양돈축산업협동조합 부설동물병원,212079,366603,충청남도,천안시,동남구 다가동 373-3
89,043-643-3037,충청북도 제천시 의병대로 55-3 (명동),한일동물병원,307181,404632,충청북도,제천시,명동 11-9번지
90,645-8272,충청북도 제천시 원뜰로 34 (하소동),명진동물병원,306118,404161,충청북도,제천시,하소동 165-59번지
91,043-652-7582,"충청북도 제천시 죽하로 5, 1층 (장락동)",제천 그레이스 동물병원,308530,406307,충청북도,제천시,장락동 635-27
92,043-872-2262,충청북도 음성군 음성읍 중앙로 142,음성동물병원,261398,381891,충청북도,음성군,음성읍 읍내리 549-12 6통3반
93,872-7747,충청북도 음성군 음성읍 중앙로40번길 24,남영가축병원 (출장진료전문병원),261591,380889,충청북도,음성군,음성읍 읍내리 398-7번지
94,043-535-6426,충청북도 음성군 대소면 대금로54번길 8,반석가금진료연구소,240160,387198,충청북도,음성군,대소면 대풍리 524-2
95,438837511,충청북도 음성군 대소면 대금로 502,대소동물병원,243886,385136,충청북도,음성군,대소면 태생리 519번지
96,043-882-7975,"충청북도 음성군 맹동면 대하1길 4, 위너스타워 2층 205, 206호",그린벨동물의료센터,248149,378611,충청북도,음성군,맹동면 동성리 501
97,873-9303,충청북도 음성군 음성읍 시장로 99,음성축산업협동조합 동물병원,261585,381861,충청북도,음성군,음성읍 읍내리 314-9
98,043-647-6100,충청북도 제천시 의림대로15길 24 (중앙로2가),진주동물병원,307433,404886,충청북도,제천시,중앙로2가 27-10번지 9통3반
99,2237-3366,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",바우미우동물병원,201065,450780,서울특별시,중구,신당동 336-3 명덕빌딩
100,2278-0075,서울특별시 중구 퇴계로 254-1 (묵정동),황동물병원,199931,451121,서울특별시,중구,묵정동 32-1
101,928-5599,서울특별시 성북구 보문로 137 (보문동2가),서울종합동물병원,201538,453867,서울특별시,성북구,보문동2가 49번지
102,918-3344,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)",대학동물병원,205326,456806,서울특별시,성북구,장위동 8-2 석계역 한일노벨리아시티 210호
103,924-4555,서울특별시 성북구 종암로 65 (종암동),강북동물병원,203036,454877,서울특별시,성북구,종암동 19-1번지
104,02-969-7582,서울특별시 은평구 백련산로 145 (응암동),스머프동물병원,193315,455101,서울특별시,은평구,응암동 194-23
105,02-356-8353,"서울특별시 은평구 불광로 60, 1층 (불광동)",다루동물병원,193936,456674,서울특별시,은평구,불광동 554-1번지 1층
106,02-388-0275,서울특별시 은평구 역말로 7 (역촌동),도담동물병원,192085,455937,서울특별시,은평구,역촌동 51-22번지
107,386-6092,서울특별시 은평구 서오릉로 192 (갈현동),미래동물병원,192190,456831,서울특별시,은평구,갈현동 498-3번지
108,382-3243,서울특별시 은평구 서오릉로 140 (대조동),더독동물병원,192656,456562,서울특별시,은평구,대조동 224-24번지
109,02-2297-7582,서울특별시 성동구 행당로8길 41-2 (행당동),오렌지동물병원,202932,450419,서울특별시,성동구,행당동 322-100번지
110,2256-7582,서울특별시 중구 동호로 178 (신당동),웰펫동물병원,200945,450227,서울특별시,중구,신당동 373-64번지
111,02-582-2186,서울특별시 서초구 방배로34길 12 (방배동),남서울동물병원,199192,443360,서울특별시,서초구,방배동 809-1
112,582-2357,서울특별시 서초구 효령로57길 4 (서초동),서초동물병원,201437,442585,서울특별시,서초구,서초동 1603-66
113,522-0222,"서울특별시 서초구 반포대로 45, 1층 (서초동, 명성빌딩)",아델 동물병원,200886,442482,서울특별시,서초구,서초동 1534-2번지 명성빌딩
114,581-5500,"서울특별시 서초구 서초대로 124, 101호 (방배동, 선빌딩)",동물제중원금손이 동물병원,199583,442879,서울특별시,서초구,방배동 894-2 선빌딩 101호
115,02-585-0087,"서울특별시 서초구 효령로 214, 삼양빌딩 2층 (서초동)",다니엘동물병원,200612,442326,서울특별시,서초구,서초동 1486-2 삼양빌딩
116,2693-8883,서울특별시 양천구 중앙로 295 (신월동),우신동물병원,186795,446714,서울특별시,양천구,신월동 501-12
117,2642-9159,서울특별시 양천구 등촌로 160 (목동),강현림 종합동물병원,187774,449099,서울특별시,양천구,목동 657-16
118,02-2651-9953,서울특별시 양천구 은행정로 10 (신정동),해성동물병원,187566,446498,서울특별시,양천구,신정동 1020-17
119,02-3476-7522,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 147,148호 (반포동)",두리종합동물병원,200006,444681,서울특별시,서초구,반포동 18-3 래미안퍼스티지 중심상가 147-8호
120,25219010,"서울특별시 서초구 방배로 119, 1층 (방배동)",디아나동물병원,199510,442496,서울특별시,서초구,방배동 925-8번지
121,02-533-5505,"서울특별시 서초구 나루터로 37, 신사쇼핑센터 1층 102-2호 (잠원동)",이상록동물병원,201231,445992,서울특별시,서초구,잠원동 50-5 신사쇼핑센터 102-2호
122,2690-5673,서울특별시 양천구 월정로 46 (신월동),햇살동물병원,185992,446855,서울특별시,양천구,신월동 446-4번지
123,02-468-7582,서울특별시 성동구 뚝섬로 395 (성수동2가),제인동물병원,204764,448534,서울특별시,성동구,성수동2가 339-23번지
124,02-359-2020,서울특별시 은평구 통일로 817 (대조동),Dr.윤24시동물병원,193148,457137,서울특별시,은평구,대조동 187-24
125,02-2233-1848,서울특별시 성동구 금호산길 58(금호동2가),한빛동물병원,201658,450120,서울특별시,성동구,금호동2가 485-1
126,02-6085-7750,"서울특별시 성동구 독서당로 289 (금호동4가,지상1층)",아지동물병원,201790,449531,서울특별시,성동구,금호동4가 1108번지 지상1층
127,02-3395-7975,서울특별시 성동구 고산자로 207 (행당동),24시센트럴동물메디컬센터,202907,450712,서울특별시,성동구,행당동 318-36
128,02-2652-1865,서울특별시 양천구 신목로 78 (신정동),리더스 동물병원,188814,446611,서울특별시,양천구,신정동 117-37
129,02-6402-0301,"서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)",오석헌동물병원,201154,449189,서울특별시,성동구,옥수동 561번지 래미안옥수리버젠 상가동 420호
130,385-8275,"서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)",뉴타운동물병원,193103,459987,서울특별시,은평구,진관동 20번지 상림마을 821동 101호
131,02-358-1591,"서울특별시 은평구 연서로29길 24, 지, 2층 (갈현동, 정운빌딩)",도그원 동물의료센터,192667,457481,서울특별시,은평구,"갈현동 431-5번지 지층, 2층"
132,02-387-7582,서울특별시 은평구 은평로 93 (응암동),24시스마트동물메디컬센터,192700,455277,서울특별시,은평구,응암동 91-5
133,593-1045,"서울특별시 서초구 강남대로 631, 1층 (잠원동, 크레신타워)",유림동물안과병원,201566,446206,서울특별시,서초구,잠원동 8-24 크레신타워 1층
134,2094-8344,서울특별시 중랑구 중랑천로 71 (상봉동),서울우유협동조합유우진료소,206322,454382,서울특별시,중랑구,상봉동 137-7
135,2282-3653,서울특별시 성동구 독서당로 328 (금호동4가),펫365동물병원,202165,449517,서울특별시,성동구,금호동4가 1338번지 10통4반 현대ESA아파트 910호
136,2695-1231,서울특별시 양천구 남부순환로 347 (신월동),민병철동물병원,184768,448230,서울특별시,양천구,신월동 50-5번지
137,02-466-2475,서울특별시 성동구 뚝섬로 386 (성수동2가),서울숲동물병원,204635,448540,서울특별시,성동구,성수동2가 333-3번지 1층
138,02-2291-7582,"서울특별시 성동구 독서당로40길 39, 어울림상가 301~304호 (옥수동)",옥수수 동물병원,201538,448895,서울특별시,성동구,옥수동 560 어울림상가 301~4호
139,2645-2727,"서울특별시 양천구 오목로 299, 목동트라팰리스 (목동)",쿨펫이마트 목동점 동물병원,188473,447092,서울특별시,양천구,목동 962 목동트라팰리스
140,02-354-7544,"서울특별시 은평구 연서로 317 (불광동, 동윤빌딩)",둘레길동물병원,193548,457937,서울특별시,은평구,불광동 104-94번지
141,02-352-7275,"서울특별시 은평구 통일로 727-5, 2층 (대조동)",개와냥이동물병원,193681,456433,서울특별시,은평구,대조동 14-27 2층
142,02-3152-0075,서울특별시 은평구 백련산로 29 (응암동),참좋은동물병원,193082,453993,서울특별시,은평구,응암동 244-212번지
143,356-7547,"서울특별시 은평구 연서로 72, 1층 101호 (역촌동)",우신동물병원,192488,455919,서울특별시,은평구,역촌동 22-49번지 101호
144,02-384-0075,서울특별시 은평구 통일로 885 (갈현동),메디펫동물병원,192826,457741,서울특별시,은평구,갈현동 394-27번지
145,2274-8558,서울특별시 중구 퇴계로 226 (필동2가),윤신근박사동물병원,199653,451039,서울특별시,중구,필동2가 53
146,226546183,서울특별시 양천구 목동동로10길 6 (신정동),노아동물병원,188499,446254,서울특별시,양천구,신정동 294-62번지
147,2607-0022,서울특별시 양천구 오목로 45 (신월동),양천종합동물병원,186020,446685,서울특별시,양천구,신월동 444-11
148,306-8575,"서울특별시 은평구 증산로 267, 103호 (증산동)",한수24시동물병원,191720,453282,서울특별시,은평구,증산동 174-6 103호
149,354-0975,서울특별시 은평구 연서로 137 (구산동),로얄동물병원,192585,456539,서울특별시,은평구,구산동 1-1번지
150,596-1175,"서울특별시 서초구 서초대로 325 (서초동,지상1층)",교대동물병원,201437,443641,서울특별시,서초구,서초동 1690-2번지 지상1층
151,2649-0774,서울특별시 양천구 등촌로 16 (목동),필동물종합병원,187921,447697,서울특별시,양천구,목동 805-1
152,02-3476-3535,서울특별시 서초구 사평대로45길 10-25 (반포동),반포자이동물병원,201163,444940,서울특별시,서초구,반포동 20-51 베리스타운102/108호
153,02-574-0511,"서울특별시 서초구 헌릉로8길 10-12, 1층 3호 (신원동, 힐스테이트서초잰트리스)",하나동물병원,204997,439329,서울특별시,서초구,신원동 412-5번지 힐스테이트서초잰트리스 103호
154,2645-7588,"서울특별시 양천구 목동서로 77, 현대월드타워 160호 (목동)",가나종합동물병원,189151,448200,서울특별시,양천구,목동 907번지 현대월드타워 160호
155,2643-0283,"서울특별시 양천구 목동서로 170, 홈플러스목동점 (목동)",닥터펫동물병원,188729,447573,서울특별시,양천구,목동 919-7 홈플러스목동점
156,02-356-9475,"서울특별시 은평구 통일로 796, 상가동 지하2층 128호, 지하1층 228호 (불광동, 북한산 힐스테이트7차)",담은동물병원,193458,457135,서울특별시,은평구,"불광동 643 북한산 힐스테이트7차, 상가동 지하2층 128호, 지하1층 228호"
157,2697-7576,"서울특별시 양천구 오목로 198-1 (신정동,1층)",신정 동물병원,187508,447013,서울특별시,양천구,신정동 987-3 1층
158,2642-8653,"서울특별시 양천구 등촌로 172, 등촌빌딩 A동 102호 (목동)",토론토 동물병원,187789,449205,서울특별시,양천구,목동 657-21번지 등촌빌딩
159,02-466-8215,"서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)",달링동물병원,203912,448509,서울특별시,성동구,성수동1가 718번지 트리마제
160,02-2232-7975,"서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)",바른동물병원,201866,451543,서울특별시,중구,황학동 2523 황학 아크로타워
161,02-306-0158,"서울특별시 은평구 가좌로 239, 2층 (응암동, 스타이루)",오거리동물병원,192509,454280,서울특별시,은평구,응암동 589-12번지 2층
162,382-7582,서울특별시 은평구 은평로 208 (응암동),LOVE MY PET 동물병원,193814,455416,서울특별시,은평구,응암동 74-14번지
163,577-6125,"서울특별시 서초구 매헌로 16, 지하1층 (양재동, 이마트 양재점)",이리온 양재점,203205,440137,서울특별시,서초구,양재동 215번지 이마트 양재점 지하1층
164,592-0202,"서울특별시 서초구 서초중앙로 224, 129호 (반포동)",꿈꾸는 동물병원,201101,444377,서울특별시,서초구,반포동 1341
165,2058-1882,서울특별시 서초구 바우뫼로 211 (양재동),에이블 동물병원,203616,442082,서울특별시,서초구,양재동 4-14
166,02-468-7975,"서울특별시 성동구 성수일로 33, 1층 (성수동1가, 정인숙보습학원)",포레동물병원,204278,449042,서울특별시,성동구,성수동1가 22-28번지 1층
167,3472-8275,"서울특별시 서초구 사임당로 139, 104호 (서초동)",서이동물병원,202129,443286,서울특별시,서초구,서초동 1332-7
168,02-578-7572,"서울특별시 서초구 바우뫼로7길 8, 201호 (우면동,우면세신상가)",우면동물병원,202175,440964,서울특별시,서초구,우면동 66-2 우면세신상가 201호
169,02-2297-0075,서울특별시 성동구 왕십리로 381 (하왕십리동),왕십리조은동물병원,202393,451365,서울특별시,성동구,하왕십리동 892-4
170,2642-1239,"서울특별시 양천구 목동동로 130, 117, 118호 (신정동, 목동신시가지아파트14단지)",페토브 동물병원,188467,446004,서울특별시,양천구,"신정동 329 목동신시가지아파트14단지 B상가 117,호"
171,02-2601-8875,"서울특별시 양천구 중앙로 237, 1층 (신정동)",24시 서울 탑 동물병원,186990,446177,서울특별시,양천구,신정동 1182-11
172,534-9773,서울특별시 서초구 방배중앙로 149 (방배동),수동물병원,198732,443366,서울특별시,서초구,방배동 790-27번지
173,3473-8274,"서울특별시 서초구 서초대로 108, 2층 (방배동)",내방동물병원,199411,442808,서울특별시,서초구,방배동 898-3
174,02-2282-7501,"서울특별시 성동구 매봉길 50 (옥수동, 이편한세상옥수파크힐스)",스테이동물병원,201158,449563,서울특별시,성동구,옥수동 528번지 이편한세상옥수파크힐스
175,02-537-0075,서울특별시 서초구 서초중앙로 245 (반포동),신반포종합동물병원,200885,444571,서울특별시,서초구,반포동 56-1번지
176,8464597,"서울특별시 양천구 목동중앙북로 73, 덕수프라자 2층 (목동)",두암동물병원,188564,449409,서울특별시,양천구,목동 507-2 덕수프라자
177,534-3475,"서울특별시 서초구 잠원로 24 (반포동,반포자이프라자 133호)",24시예스동물병원,200800,444990,서울특별시,서초구,반포동 20-45 반포자이프라자 133호
178,393-6675,서울특별시 서대문구 통일로 197 (영천동),우리동물병원,196511,452071,서울특별시,서대문구,영천동 299
179,736-5834,서울특별시 서대문구 통일로 375 (홍제동),빛가온동물병원,195452,453470,서울특별시,서대문구,홍제동 90-67
180,02-575-0855,"서울특별시 서초구 논현로 173, 동리빌딩 1층 (양재동)",레스펫동물병원,203580,442527,서울특별시,서초구,양재동 2-43 동리빌딩
181,2644-8878,"서울특별시 양천구 목동서로 100, 상가동 105, 204호 (목동, 목동신시가지아파트3단지)",파리스동물병원,188701,448020,서울특별시,양천구,"목동 903 목동신시가지아파트3단지 상가동 105호, 204호"
182,2694-8275,"서울특별시 양천구 신정이펜2로 22, 203호 (신정동, 신정프라자)",구름동물병원,185126,445644,서울특별시,양천구,신정동 1320-2번지 신정프라자 203호
183,02-2061-5277,서울특별시 양천구 신월로 320 (신정동),밀리언동물병원,187242,446576,서울특별시,양천구,신정동 1028-4번지
184,02-525-3102,"서울특별시 서초구 동작대로 36, 1,2층 (방배동, 대광빌딩)",VIP동물의료센터 서초동작점,198352,441943,서울특별시,서초구,"방배동 442-3 대광빌딩 1,2층"
185,02-588-7511,"서울특별시 서초구 서초중앙로 72, 영빌딩 1층 105호,  층 2층 205호 (서초동)",서초M동물의료센터,201248,442893,서울특별시,서초구,서초동 1624-1 영빌딩
186,02-2282-7503,"서울특별시 성동구 행당로 76, 한진노변상가 1,2층 108호109호203호 (행당동)",이윤세동물병원,202511,450401,서울특별시,성동구,행당동 346번지 한진노변상가 109호
187,02-2281-5200,서울특별시 성동구 왕십리로 282 (행당동),한양동물메디컬센터,203201,450821,서울특별시,성동구,행당동 226-3
188,02-393-7588,"서울특별시 중구 만리재로 175, 지하1층 401-1호 (만리동2가, 서울역센트럴자이)",백슬동물병원,196697,450217,서울특별시,중구,만리동2가 273 서울역센트럴자이
